gq25ovko,Any%
z273gq5d,3D Classics - Any%
q25qzvy2,Regular Cars
zd30q3vd,Any%
zd38yxrk,Any%
wdmx33kq,Best Time
w20p6p8k,Time Trial 3 lap
mkeon9d6,All Missions
w203w182,All Games
z27m4gz2,All Beginner Categories
xd1e8q82,100% Glitchless
vdoqg9vk,Atomic
5dwpqlkg,Souls%
ndx1n52q,Main Story
jdrvyx26,Star Cup
vdoowvod,Any%
wk6gyrd1,100 Points
z274lrg2,Arcade (HPT)
9kvlq02g,Golden Watering Can
n2yglem2,Golden Fox
xd141qwd,Royal Rumble
jdzlpv62,Card Party
w203wz2n,Best Time
02qovepk,Obstacle Course
9d8j8r3k,Normal
jdz5vj6d,100%
jdzpovkv,All Stages
zd3xww8d,Demo Any%
zd3538kn,Ending 0
wk6pnoed,PS1
vdoqv5ok,Any% Any Ship with Upgrades
824mxqn2,Boss Rush RTA
xd1mj4d8,City Trial 100%
rklgm8qd,Easy
mkeowp8d,Most Trophies
z274emz2,Any%
rklx53wk,Any% (Beginner)
rklqwxr2,Best Ending
zdnnxg7d,Courses 51-60
82470n25,100%
9kvo6j2g,Trials
xw20mokn,Any% No IJ
02q4vx7d,100%
vdo8x41k,Game Over%
w20ej5dn,Any%
7dgg6qgd,100%
824p19g2,Any% Toad Only
ndx3xrdq,Any%
rklxlewk,Any%
7kj3vn42,Perfect 10
824p6w25,Leaf Cup
5dw76nlk,Reverse Cages
rkl56n2n,Any% Standard Ship No Upgrade
9kvm4j8k,Any% Memory Corruption
02q35qpk,Any%
jdr7y3x2,Partner Party All Boards
824r09gd,Arcade
7kj7y4k3,Golf: 18 Holes
n2y5e1ek,Low% (J)
z2776z20,Flower Cup
mkezw3nk,Time Trial
mkez1pxk,Stunt Trax NTSC
xk9lg6k0,Mushroom Cup
w204l8kn,All Events
ndx15nr2,Pro Class
02q307yk,Splatoon Extras
9d89ew2n,NG+
mke5jxk6,Mail Delivery
xk98myy2,100% (Any Car)
wk6j0zpd,Any%
nxd15w28,Any% No Early Ripto
jdre695k,All Base Scenarios (OpenRCT2)
02qlv7pk,Master System
mkero9d6,All Parts
7dgrpzpk,Courses 1-10
wkpwevdr,Goofy
824ovmd5,Any%
vdo03pvd,Any% Easy
5dwylqgk,All Happiness Objects
9kvj7jkg,100%
